epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
0,778,,,,,,,,,,,,,,,,,8.162965774536133,3.4058873653411865,7.329618453979492,0.6945107579231262,11.066539764404297,4.288666725158691,10.232942581176758,0.782800018787384,6.9626641273498535,2.976332426071167,6.129255771636963,0.7361111044883728,11.401887893676758,4.3916544914245605,10.568262100219727,0.7917498350143433
0,778,13.80281925201416,5.968225002288818,12.96972942352295,0.7845771312713623,17.70816421508789,7.030930995941162,16.87488555908203,0.842155933380127,11.990649223327637,5.0522871017456055,11.157574653625488,0.8398791551589966,18.139711380004883,7.154560089111328,17.306400299072266,0.8473157286643982,,,,,,,,,,,,,,,,
1,1557,,,,,,,,,,,,,,,,,6.873647212982178,2.73665189743042,6.040554046630859,0.715990424156189,7.09488582611084,2.6977827548980713,6.261765480041504,0.741599977016449,6.043763160705566,2.4134857654571533,5.2106242179870605,0.7777777910232544,7.132228374481201,2.6987099647521973,6.299105644226074,0.7434020638465881
1,1557,6.998507499694824,2.94075608253479,6.16563606262207,0.7512437701225281,8.515950202941895,3.3093767166137695,7.682840824127197,0.7879359722137451,6.70026159286499,2.708477020263672,5.867302894592285,0.7885196208953857,8.6776762008667,3.3510007858276367,7.844541072845459,0.7911942005157471,,,,,,,,,,,,,,,,
2,2336,,,,,,,,,,,,,,,,,5.5358967781066895,2.4216413497924805,4.704057216644287,0.6730310320854187,6.292107582092285,2.7323601245880127,5.458804130554199,0.7771999835968018,6.090514659881592,2.332087993621826,5.25731086730957,0.8333333134651184,6.365598678588867,2.7676243782043457,5.532153606414795,0.7859835624694824
2,2336,6.217613220214844,2.621227264404297,5.385098934173584,0.7243781089782715,6.581909656524658,2.6410140991210938,5.749042987823486,0.7685114741325378,6.461948871612549,2.565232276916504,5.630059242248535,0.7824773192405701,6.616093158721924,2.6438848972320557,5.783189296722412,0.7722359895706177,,,,,,,,,,,,,,,,
3,3115,,,,,,,,,,,,,,,,,6.3015289306640625,2.511824131011963,5.465798377990723,0.6610978245735168,6.130917549133301,2.23610520362854,5.290905475616455,0.7035999894142151,6.914377689361572,2.4990854263305664,6.0656819343566895,0.7222222089767456,6.102550983428955,2.206285238265991,5.262279987335205,0.7072521448135376
3,3115,5.55900239944458,2.384324312210083,4.7288432121276855,0.7044776082038879,5.91363525390625,2.3663384914398193,5.082287788391113,0.7451539039611816,5.846595764160156,2.341158628463745,5.014884948730469,0.773413896560669,5.946191310882568,2.3651070594787598,5.114738941192627,0.7483611106872559,,,,,,,,,,,,,,,,
4,3894,,,,,,,,,,,,,,,,,5.652881622314453,2.2311108112335205,4.837630748748779,0.6968973875045776,5.34641170501709,2.024176836013794,4.524473667144775,0.7020000219345093,5.438467025756836,2.2051210403442383,4.613155841827393,0.7361111044883728,5.316462993621826,2.002058267593384,4.493957042694092,0.7019294500350952
4,3894,5.451177597045898,2.2718207836151123,4.62817907333374,0.7059701681137085,5.713878154754639,2.2425670623779297,4.889416694641113,0.7354817986488342,6.098958492279053,2.4224653244018555,5.265655994415283,0.7945619225502014,5.7316203117370605,2.2373263835906982,4.907159805297852,0.737243115901947,,,,,,,,,,,,,,,,
5,4673,,,,,,,,,,,,,,,,,5.068976879119873,1.994045376777649,4.255826950073242,0.6706444025039673,5.043760776519775,1.8983031511306763,4.225712776184082,0.6837999820709229,4.899604320526123,1.807289719581604,4.071509838104248,0.7361111044883728,5.0437211990356445,1.8908597230911255,4.225378036499023,0.6841871738433838
5,4673,5.255034923553467,2.154275417327881,4.433385848999023,0.6935323476791382,5.468174934387207,2.1458823680877686,4.649873733520508,0.7229201197624207,6.230186939239502,2.435528039932251,5.40134859085083,0.8066465258598328,5.475979328155518,2.1408863067626953,4.658130645751953,0.7243090271949768,,,,,,,,,,,,,,,,
6,5452,,,,,,,,,,,,,,,,,5.226236343383789,2.023268699645996,4.403352737426758,0.656324565410614,5.318751335144043,1.87519371509552,4.498169898986816,0.6621999740600586,6.544069290161133,2.3462610244750977,5.7031660079956055,0.6944444179534912,5.307782173156738,1.853912353515625,4.487741470336914,0.6622310876846313
6,5452,5.014016628265381,2.0302908420562744,4.19172477722168,0.6796019673347473,5.264230251312256,2.0407562255859375,4.444185256958008,0.7125657200813293,5.957172870635986,2.3315963745117188,5.125705718994141,0.7794561982154846,5.276351451873779,2.0374228954315186,4.456668376922607,0.7145198583602905,,,,,,,,,,,,,,,,
